id,namn,slug
2090,"Psykiater Bedrija Hasanagic AB",psykiater-bedrija-hasanagic
2091,"NTP Invest AB",ntp-invest
2092,"Min Psykiatri Sverige AB",min-psykiatri-sverige
2093,"FAM.JOHNSSON INVEST AB",fam-johnsson-invest
2094,"C.E. Andréasson Invest AB",c-e-andreasson-invest
2095,"Acetech Aktiebolag",acetech-aktiebolag
2096,"slow motion AB",slow-motion
2097,"Vellinge Tak & Plåtslageri AB",vellinge-tak-och-platslageri
2098,"L & L Service AB",l-och-l-service
2099,"Bromölla bemanning AB",bromolla-bemanning
2100,"Sheilas Entreprenad AB",sheilas-entreprenad
2101,"Magnus Automekaniska Motala AB",magnus-automekaniska-motala
2102,"Roslags Bemanning AB",roslags-bemanning
2103,"TKTN Group AB",tktn-group
2104,"Profital Ekonomi AB",profital-ekonomi
2105,"Nurse Care Värnamo AB",nurse-care-varnamo
2106,"POM i Läjet AB",pom-i-lajet
2107,"Kungsbacka Asfalt AB",kungsbacka-asfalt
2108,"Viktorsson Industrilackering AB",viktorsson-industrilackering
2109,"Bröderna Kurt AB",broderna-kurt
2110,"AB Thoreson i Nora",ab-thoreson-i-nora
2111,"Nordic Highway AB",nordic-highway
2112,"Karlbo Bygg & Entreprenad AB",karlbo-bygg-och-entreprenad
2113,"EBH Care AB",ebh-care
2114,"Richards Bemanning AB",richards-bemanning
2115,"Service o Fastigheter AD AB",service-o-fastigheter-ad
2116,"Storoxen invest AB",storoxen-invest
2117,"Petterssons Transport i Kalix AB",petterssons-transport-i-kalix
2118,"TN i Lycksele AB",tn-i-lycksele
2119,"Pernilla Oderstål AB",pernilla-oderstal
2120,"Talentconnect AB",talentconnect
2121,"Relcon AB",relcon
2122,"Lykkekliniken AB",lykkekliniken
2123,"JUSE AB",juse
2124,"Barnsyrra AB",barnsyrra
2125,"Sociala tjänster i Blekinge AB",sociala-tjanster-i-blekinge
2126,"Willaborg Basecamp AB",willaborg-basecamp
2127,"de Wall Bemanning & Rekrytering AB",de-wall-bemanning-och-rekrytering
2128,"WeQube AB",weqube
2129,"Urvalet Executive AB",urvalet-executive
2130,"Tryggheten AB",tryggheten
2131,"Södertörns Bemanning AB",sodertorns-bemanning
2132,"SoCo bemanning AB",soco-bemanning
2133,"Snabbjobb MM AB",snabbjobb-mm
2134,"Simole AB",simole
2135,"STARKT JOBBAT AB",starkt-jobbat
2136,"RB Jobbförmedling AB",rb-jobbformedling
2137,"OT Crew AB",ot-crew
2138,"Macavoy AB",macavoy
2139,"LogistiCan Rekrytering AB",logistican-rekrytering
2140,"Lodins Smide AB",lodins-smide
2141,"Lemond Sales & Consulting AB",lemond-sales-och-consulting
2142,"Kärnvärden Aktiebolag",karnvarden-aktiebolag
2143,"Inner Impact Sweden AB",inner-impact-sweden
2144,"INQLUDERA CJ AB",inqludera-cj
2145,"Hytton Technologies AB",hytton-technologies
2146,"Huvudverket i Sverige AB",huvudverket-i-sverige
2147,"Holmberg Consulting & Talents AB",holmberg-consulting-och-talents
2148,"F L CASTING AB",f-l-casting
2149,"Elin Jerklind Consulting AB",elin-jerklind-consulting
2150,"Dora & Son Aktiebolag",dora-och-son-aktiebolag
2151,"Daily Crew AB",daily-crew
2152,"Daggny AB",daggny
2153,"CMH i Stockholm AB",cmh-i-stockholm
2154,"Athletes Abroad Management 2019 AB",athletes-abroad-management-2019
2155,"Annica Wiberg AB",annica-wiberg
2156,"Amivo Bemanning & rekrytering Sverige AB",amivo-bemanning-och-rekrytering-sverige
2157,"AnKom Aktiebolag",ankom-aktiebolag
2158,"Allways Trading Sweden AB",allways-trading-sweden
2159,"Active Padel SWE AB",active-padel-swe
2160,"2Work Sverige AB",2work-sverige
2161,"Nea RM Service AB",nea-rm-service
2162,"KLR Holding AB",klr-holding
2163,"Eric Persson Konsult AB",eric-persson-konsult
2164,"BA Personal och Ekonomi AB",ba-personal-och-ekonomi
2165,"Wangerheim Consulting AB",wangerheim-consulting
2166,"WD Service AB",wd-service
2167,"VårdVärde Sverige AB",vardvarde-sverige
2168,"Rekonomista AB",rekonomista
2169,"Psykolognina AB",psykolognina
2170,"EH Healthcare AB",eh-healthcare
2171,"Cloud Solutions for Business Sweden AB",cloud-solutions-for-business-sweden
2172,"Bendix Ekonomi & Konsult AB",bendix-ekonomi-och-konsult
2173,"AIMÉEX Service AB",aimeex-service
2174,"WTM i Lidköping AB",wtm-i-lidkoping
2175,"Talentify AB",talentify
2176,"Peter Elmander AB",peter-elmander
2177,"Medica Corporal Borås AB",medica-corporal-boras
2178,"Eos Bemanning AB",eos-bemanning
2179,"Ronix Konsult AB",ronix-konsult
2180,"Engstrand Kran AB",engstrand-kran
2181,"Your Dentist Sweden AB",your-dentist-sweden
2182,"N Claesson Konsult AB",n-claesson-konsult
2183,"MA Sociala Resurser AB",ma-sociala-resurser
2184,"TronSe AB",tronse
2185,"Vissboda Allservice AB",vissboda-allservice
2186,"Taxi Ride Solutions Sweden AB",taxi-ride-solutions-sweden
2187,"Södergård Konsult AB",sodergard-konsult
2188,"Mccerkers skog och maskin AB",mccerkers-skog-och-maskin
2189,"GRÅDÖ Entreprenad AB",grado-entreprenad
2190,"RME Solutions AB",rme-solutions
2191,"Bruzelius Bemanning AB",bruzelius-bemanning
2192,"Team SER AB",team-ser
2193,"PJSR Holding AB",pjsr-holding
2194,"Activa Veteraner i Västerås AB",activa-veteraner-i-vasteras
2195,"Svalbros Mekaniska AB",svalbros-mekaniska
2196,"SVM Sverige AB",svm-sverige
2197,"Stensele Bemanning AB",stensele-bemanning
2198,"RnR Agency AB",rnr-agency
2199,"PG Spår och Maskinservice AB",pg-spar-och-maskinservice
2200,"Oasis i Skellefteå AB",oasis-i-skelleftea
2201,"Landströms Bemanning AB",landstroms-bemanning
2202,"Pleasure Production Sweden AB",pleasure-production-sweden
2203,"Jelle AB",jelle
2204,"AMB Flex Bemanning AB",amb-flex-bemanning
2205,"NP Hkansson AB",np-hkansson
2206,"Magnus Högberg AB",magnus-hogberg
2207,"CARMI Resurs AB",carmi-resurs
2208,"BV Bemanning & Fordonsfix AB",bv-bemanning-och-fordonsfix
2209,"Vapper butiksspecialist AB",vapper-butiksspecialist
2210,"UJL AB",ujl
2211,"Trinéa Capital AB",trinea-capital
2212,"Skills & Talent AB",skills-och-talent
2213,"Sikta Urval AB",sikta-urval
2214,"Sabay Sabay Allservice AB",sabay-sabay-allservice
2215,"RRR Production AB",rrr-production
2216,"MT Search & Recruit AB",mt-search-och-recruit
2217,"JJ Entreprenad Älvsbyn AB",jj-entreprenad-alvsbyn
2218,"Issa Rekrytering AB",issa-rekrytering
2219,"Fima Bemanning och Redovisning AB",fima-bemanning-och-redovisning
2220,"Fazeli Talent Solutions AB",fazeli-talent-solutions
2221,"Esther Rekrytering AB",esther-rekrytering
2222,"Energy Staffing & Advisement Sweden AB",energy-staffing-och-advisement-sweden
2223,"Byggagentur Norden AB",byggagentur-norden
2224,"Burgaz Management AB",burgaz-management
2225,"Björklund Bemannings AB",bjorklund-bemannings
2226,"Bemapoint Business Group AB",bemapoint-business-group
2227,"Acqira AB",acqira
2228,"Samlarhuset Sverige AB",samlarhuset-sverige
2229,"MAD Uthyrning AB",mad-uthyrning
2230,"LBE bemanning och event AB",lbe-bemanning-och-event
2231,"J2 Analytics AB",j2-analytics
2232,"Apotek Plus AB",apotek-plus
2233,"123 Allgruppen AB",123-allgruppen
2234,"Visanova i Sollentuna AB",visanova-i-sollentuna
2235,"Ramp Up Consulting AB",ramp-up-consulting
2236,"Pharm Match Lifesience AB",pharm-match-lifesience
2237,"Nordens Bemanning och Konsultation AB",nordens-bemanning-och-konsultation
2238,"LB Care AB",lb-care
2239,"Craxy AB",craxy
2240,"Care by Nahl AB",care-by-nahl
2241,"BSH transport AB",bsh-transport
2242,"Astra socionomerna AB",astra-socionomerna
2243,"Arineh AB",arineh
2244,"Trygga Åk AB",trygga-ak
2245,"Mitpot AB",mitpot
2246,"Maskindepån i Väst AB",maskindepan-i-vast
2247,"M/L Bemanning AB",m-l-bemanning
2248,"Jobbakuten Väst AB",jobbakuten-vast
2249,"EA MED+ AB",ea-med
2250,"Brogren Consulting AB",brogren-consulting
2251,"Urianda AB",urianda
2252,"SA.BestNurse AB",sa-bestnurse
2253,"Renova Care AB",renova-care
2254,"NKS - Nordisk Kontorsservice AB",nks-nordisk-kontorsservice
2255,"Lillaryds Konsult AB",lillaryds-konsult
2256,"Corlogix AB",corlogix
2257,"AB GT Consulting i Skåne",ab-gt-consulting-i-skane
2258,"Ludwig Bernholtz AB",ludwig-bernholtz
2259,"Cajajo AB",cajajo
2260,"CCConsulting Crew i Linköping AB",ccconsulting-crew-i-linkoping
2261,"Upplandskonsulterna AB",upplandskonsulterna
2262,"Aktiebolaget Ilonis",aktiebolaget-ilonis
2263,"Evangeline AB",evangeline
2264,"SR Holding i Laholm AB",sr-holding-i-laholm
2265,"Kyrkspiran Ekonomi AB",kyrkspiran-ekonomi
2266,"Nyköpings Handel AB",nykopings-handel
2267,"Mellansvenska Billots Aktiebolag",mellansvenska-billots-aktiebolag
2268,"Hamra Hardware AB",hamra-hardware
2269,"Sunda Omsorg AB",sunda-omsorg
2270,"Petra Back HR AB",petra-back-hr
2271,"Stugsundsudden fastigheter AB",stugsundsudden-fastigheter
2272,"Nowall AB",nowall
2273,"Sten & markservice i kristinehamn AB",sten-och-markservice-i-kristinehamn
2274,"Eklunden Service AB",eklunden-service
2275,"Törnblom Fastighet AB",tornblom-fastighet
2276,"WFE Förvaltning AB",wfe-forvaltning
2277,"Only the sky is the limit i Övertorneå AB",only-the-sky-is-the-limit-i-overtornea
2278,"North Equipment AB",north-equipment
2279,"Nilsson Svarv & Teknik AB",nilsson-svarv-och-teknik
2280,"Jamar AB",jamar
2281,"J H Viligroup AB",j-h-viligroup
2282,"Västerbottens Elinstallationer AB",vasterbottens-elinstallationer
2283,"HAJO Alltjänst AB",hajo-alltjanst
2284,"JNSolutions AB",jnsolutions
2285,"62 North AB",62-north
2286,"Nemero Two AB",nemero-two
2287,"J Hellqvist AB",j-hellqvist
2288,"Härjedalsguiderna AB",harjedalsguiderna
2289,"YLPO Consulting AB",ylpo-consulting
2290,"XLNT Search AB",xlnt-search
2291,"X-effekt AB",x-effekt
2292,"Wonderful People AB",wonderful-people
2293,"Watthammar Interim & Search AB",watthammar-interim-och-search
2294,"Velpro AB",velpro
2295,"TruckPartner Sverige AB",truckpartner-sverige
2296,"Södrin Consulting AB",sodrin-consulting
2297,"SweaJobb Bemanning AB",sweajobb-bemanning
2298,"Stråtenbo Consulting AB",stratenbo-consulting
2299,"Sofias Bemanning AB",sofias-bemanning
2300,"Sacore AB",sacore
2301,"SJS Consulting AB",sjs-consulting
2302,"Rekryteringsexperten Göteborg AB",rekryteringsexperten-goteborg
2303,"Recruit & Connect Sweden AB",recruit-och-connect-sweden
2304,"Qonsulta Sweden AB",qonsulta-sweden
2305,"OMAA Headhunting och Rekrytering AB",omaa-headhunting-och-rekrytering
2306,"NIS AB",nis
2307,"Movan Consulting AB",movan-consulting
2308,"Melbi Executive Search AB",melbi-executive-search
2309,"Maverick Management AB",maverick-management
2310,"KALIBER STHLM AB",kaliber-sthlm
2311,"Jens Arnesson Socionomkonsult AB",jens-arnesson-socionomkonsult
2312,"Helene&Lindroth konsult AB",helene-och-lindroth-konsult
2313,"Forat Xellent Nurses AB",forat-xellent-nurses
2314,"Fairplace AB",fairplace
2315,"Ellström & Partners AB",ellstrom-och-partners
2316,"DSCVR AB",dscvr
2317,"Clockwork Management AB",clockwork-management
2318,"Caroline Ekman AB",caroline-ekman
2319,"CENORIA AB",cenoria
2320,"C.A Rekrytering AB",c-a-rekrytering
2321,"Bjerndal Consulting AB",bjerndal-consulting
2322,"Axel Persson Socionomkonsult AB",axel-persson-socionomkonsult
2323,"Alma & Partners AB",alma-och-partners
2324,"AddSales Nordic AB",addsales-nordic
2325,"AccessCare Sverige AB",accesscare-sverige
2326,"AB BEK consulting",ab-bek-consulting
2327,"Topp Bemanning Stockholm AB",topp-bemanning-stockholm
2328,"Team Friman AB",team-friman
2329,"Personal Basaren AB",personal-basaren
2330,"Northmen 1ndustries AB",northmen-1ndustries
2331,"Ameen AB",ameen
2332,"Workio Bemanning AB",workio-bemanning
